rosbagTimestamp,milliseconds,rate,data_0,data_1
1534358459950184067,379659,2,0,-23
1534358459952009795,379660,1,0,-23
1534358459953019345,379661,1,0,-23
1534358459954054115,379662,1,0,-23
1534358459955063847,379664,2,0,-23
1534358459956067812,379665,1,0,-23
1534358459957072330,379666,1,0,-23
1534358459958011111,379667,1,0,-23
1534358459959081897,379669,2,0,-23
1534358459960077050,379670,1,0,-23
1534358459960887998,379671,1,0,-23
1534358459961977967,379672,1,0,-23
1534358459962876212,379674,2,0,-23
1534358459963863906,379675,1,0,-23
1534358459964870768,379676,1,0,-23
1534358459965823607,379677,1,0,-23
1534358459966781763,379679,2,0,-23
1534358459967752347,379680,1,0,-23
1534358459968700167,379681,1,0,-23
1534358459971545107,379682,1,0,-23
1534358459972695514,379684,2,0,-23
1534358459973646827,379685,1,0,-23
1534358459974589768,379686,1,0,-23
1534358459975576996,379687,1,0,-23
1534358459976517745,379689,2,0,-23
1534358459977505840,379691,2,0,-23
1534358459978463458,379692,1,0,-23
1534358459979516783,379693,1,0,-23
1534358459980458027,379694,1,0,-23
1534358459982110023,379696,2,0,-23
1534358459982831254,379697,1,0,-23
1534358459983697834,379698,1,0,-23
1534358459984521365,379699,1,0,-23
1534358459985360918,379701,2,0,-23
1534358459986393657,379702,1,0,-23
1534358459987289652,379703,1,0,-23
1534358459988184882,379704,1,0,-24
1534358459989069535,379706,2,0,-24
1534358459989993411,379707,1,0,-24
1534358459990782518,379708,1,0,-24
1534358459991963852,379709,1,0,-24
1534358459992802987,379711,2,0,-24
1534358459995046981,379712,1,0,-24
1534358459995051510,379713,1,0,-24
1534358459995952142,379714,1,0,-24
1534358459996987764,379716,2,0,-24
1534358459997840402,379717,1,0,-24
1534358459998839942,379718,1,0,-24
1534358460000021210,379719,1,0,-24
1534358460000863583,379721,2,0,-24
1534358460001848864,379722,1,0,-24
1534358460002861320,379723,1,0,-24
1534358460003848225,379724,1,0,-24
1534358460004905506,379726,2,0,-24
1534358460005990404,379727,1,0,-24
1534358460006996469,379728,1,0,-24
1534358460008218455,379729,1,0,-24
1534358460009003286,379731,2,0,-24
1534358460009996687,379732,1,0,-24
1534358460011007917,379734,2,0,-24
1534358460016287232,379735,1,0,-24
1534358460016296370,379737,2,0,-24
1534358460016299036,379738,1,0,-24
1534358460016306734,379739,1,0,-24
1534358460016314153,379740,1,0,-24
1534358460016316759,379742,2,0,-24
1534358460016324373,379743,1,0,-24
1534358460016328671,379744,1,0,-24
1534358460018513128,379745,1,0,-24
1534358460019366431,379747,2,0,-24
1534358460020223785,379748,1,0,-24
1534358460020895016,379749,1,0,-24
1534358460021779759,379750,1,0,-24
1534358460022586021,379752,2,0,-24
1534358460023397221,379753,1,0,-24
1534358460024211733,379754,1,0,-24
1534358460025027137,379755,1,0,-24
1534358460025846330,379756,1,0,-24
1534358460026656555,379758,2,0,-24
1534358460027492993,379759,1,0,-24
1534358460028307857,379760,1,0,-24
1534358460029174750,379761,1,0,-24
1534358460029983610,379763,2,0,-24
1534358460030821637,379764,1,0,-24
1534358460031616814,379765,1,0,-24
1534358460032848331,379766,1,0,-24
1534358460033653786,379768,2,0,-24
1534358460034457501,379769,1,0,-24
1534358460035634151,379770,1,0,-24
1534358460036427804,379771,1,0,-24
1534358460038384689,379773,2,0,-24
1534358460040260751,379774,1,0,-24
1534358460049891019,379776,2,0,-24
1534358460049893472,379777,1,0,-24
1534358460049903432,379779,2,0,-24
1534358460050791538,379780,1,0,-24
1534358460051664329,379781,1,0,-24
1534358460052568098,379782,1,0,-24
1534358460053277259,379784,2,0,-24
1534358460054145547,379785,1,0,-24
1534358460055033554,379786,1,0,-24
1534358460055893817,379787,1,0,-24
1534358460056699612,379789,2,0,-24
1534358460057526151,379790,1,0,-24
1534358460058332882,379791,1,0,-24
1534358460059126166,379792,1,0,-24
1534358460059935614,379794,2,0,-24
1534358460061798271,379795,1,0,-24
1534358460061802670,379796,1,0,-24
1534358460065868058,379797,1,0,-24
1534358460066454882,379799,2,0,-24
1534358460067628214,379800,1,0,-24
1534358460071411885,379801,1,0,-24
1534358460072521275,379802,1,0,-24
1534358460073606977,379804,2,0,-24
1534358460074770557,379805,1,0,-24
1534358460075945434,379806,1,0,-24
